batch_number,report_year,company_name,apiary_number,location,gross_weight_kg,drum_weight_kg,net_weight_kg,beshara_kg,production_kg,num_production_hives,production_per_hive_kg,num_hive_supers,harvest_date,efficiency_ratio,waste_percentage,extraction_date
hanane6729,2024,MANAHIL LLC,88 - Hatta,Hatta,88.0,625.5,19.8,605.7,3.0,602.7,20.0,30.14,2024-05-16,101.01010101010101,688.2954545454546,2025-06-18
hanane6729,2024,MANAHIL LLC,06 - Hatta,Hatta,6.0,493.8,10.4,483.4,2.8,480.6,31.0,15.5,2024-02-07,298.0769230769231,8056.666666666666,2025-06-18
hanane6729,2024,MANAHIL LLC,03 - Dibba,Dibba,3.0,445.2,15.1,430.1,2.8,427.3,79.0,5.41,2025-03-10,523.1788079470199,14336.666666666668,2025-06-18
hanane6729,2024,MANAHIL LLC,77 - Ajman,Ajman,77.0,624.6,22.4,602.2,2.5,599.7,61.0,9.83,2025-03-02,272.3214285714286,782.0779220779222,2025-06-18
hanane6729,2024,MANAHIL LLC,81 - Hatta,Hatta,81.0,374.8,13.0,361.8,2.5,359.3,32.0,11.23,2024-05-06,246.15384615384616,446.6666666666667,2025-06-18
hanane6729,2024,MANAHIL LLC,74 - Dubai,Dubai,74.0,596.5,30.6,565.9,2.5,563.4,97.0,5.81,2025-01-25,316.99346405228755,764.7297297297297,2025-06-18
hanane6729,2024,MANAHIL LLC,37 - Abu Dhabi,Abu Dhabi,37.0,273.7,33.4,240.3,2.6,237.7,86.0,2.76,2023-11-11,257.4850299401198,649.4594594594595,2025-06-18
hanane6729,2024,MANAHIL LLC,70 - Taweeh,Taweeh,70.0,325.3,7.5,317.8,2.4,315.4,33.0,9.56,2024-08-10,440.00000000000006,454.0,2025-06-18
hanane6729,2024,MANAHIL LLC,58 - casablanca,Casablanca,58.0,549.4,9.1,540.3,2.7,537.6,86.0,6.25,2024-06-26,945.054945054945,931.5517241379309,2025-06-18
hanane6729,2024,MANAHIL LLC,96 - Ajman,Ajman,96.0,586.7,18.2,568.5,2.6,565.9,42.0,13.47,2024-09-13,230.7692307692308,592.1875,2025-06-18
hanane6729,2024,MANAHIL LLC,22 - Dibba,Dibba,22.0,464.7,7.3,457.4,2.4,455.0,37.0,12.3,2024-06-30,506.8493150684931,2079.090909090909,2025-06-18
hanane6729,2024,MANAHIL LLC,63 - Ras Al Khaimah,Ras Al Khaimah,63.0,336.5,16.1,320.4,2.7,317.7,69.0,4.6,2024-09-14,428.57142857142856,508.57142857142856,2025-06-18
hanane6729,2024,MANAHIL LLC,46 - Sharjah,Sharjah,46.0,138.2,18.8,119.4,2.4,117.0,34.0,3.44,2025-05-31,180.85106382978722,259.5652173913044,2025-06-18
ibtissam6975,2024,MANAHIL LLC,67 - Al Hajar,Unknown,67.0,357.7,34.2,323.5,2.9,320.6,78.0,4.11,2024-10-19,228.0701754385965,482.8358208955224,2025-06-18
ibtissam6975,2024,MANAHIL LLC,01 - Kalba,Kalba,1.0,398.7,24.3,374.4,2.8,371.6,47.0,7.91,2025-04-01,193.41563786008228,37440.0,2025-06-18
ibtissam6975,2024,MANAHIL LLC,39 - Kalba,Kalba,39.0,607.9,18.4,589.5,2.7,586.8,27.0,21.73,2024-02-15,146.73913043478262,1511.5384615384614,2025-06-18
ibtissam6975,2024,MANAHIL LLC,06 - Hatta,Hatta,6.0,172.4,9.4,163.0,3.0,160.0,76.0,2.11,2024-08-11,808.5106382978724,2716.666666666667,2025-06-18
ibtissam6975,2024,MANAHIL LLC,11 - Sharjah,Sharjah,11.0,623.7,16.2,607.5,2.5,605.0,109.0,5.55,2024-12-22,672.8395061728396,5522.727272727273,2025-06-18
ibtissam6975,2024,MANAHIL LLC,73 - taza,Taza,73.0,644.4,8.1,636.3,2.9,633.4,51.0,12.42,2024-06-05,629.6296296296297,871.6438356164383,2025-06-18
ibtissam6975,2024,MANAHIL LLC,43 - Ajman,Ajman,43.0,337.2,17.6,319.6,2.5,317.1,117.0,2.71,2024-11-21,664.7727272727273,743.2558139534884,2025-06-18
ibtissam6975,2024,MANAHIL LLC,65 - Al Hajar,Unknown,65.0,112.3,21.5,90.8,2.4,88.4,106.0,0.83,2025-04-05,493.0232558139535,139.69230769230768,2025-06-18
ibtissam6975,2024,MANAHIL LLC,15 - Ras Al Khaimah,Ras Al Khaimah,15.0,228.3,8.4,219.9,2.8,217.1,57.0,3.81,2023-08-29,678.5714285714286,1466.0,2025-06-18
ibtissam6975,2024,MANAHIL LLC,42 - Kalba,Kalba,42.0,631.5,5.9,625.6,2.9,622.7,52.0,11.98,2024-07-11,881.3559322033898,1489.5238095238096,2025-06-18
ibtissam6975,2024,MANAHIL LLC,81 - Ras Al Khaimah,Ras Al Khaimah,81.0,136.7,27.6,109.1,3.1,106.0,38.0,2.79,2023-08-28,137.68115942028984,134.69135802469134,2025-06-18
ibtissam6975,2024,MANAHIL LLC,53 - Hatta,Hatta,53.0,143.1,15.0,128.1,2.4,125.7,97.0,1.3,2025-04-09,646.6666666666666,241.69811320754718,2025-06-18
ibtissam6975,2024,MANAHIL LLC,06 - Umm Al Quwain,Umm Al Quwain,6.0,370.9,15.5,355.4,2.6,352.8,114.0,3.09,2024-10-19,735.483870967742,5923.333333333333,2025-06-18
ibtissam6975,2024,MANAHIL LLC,59 - Dubai,Dubai,59.0,139.8,6.1,133.7,3.0,130.7,29.0,4.51,2025-06-01,475.4098360655738,226.61016949152543,2025-06-18
ibtissam6975,2024,MANAHIL LLC,80 - Kalba,Kalba,80.0,81.7,29.4,52.3,2.6,49.7,73.0,0.68,2024-04-06,248.2993197278912,65.375,2025-06-18
